Filtering the log data using "subsystem CONTAINS "dev.contextify""
Timestamp               Ty Process[PID:TID]
2025-11-14 23:07:08.151 I  Contextify[2111:138fcd3] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-INIT] ConversationMonitor initializing
2025-11-14 23:07:08.152 I  Contextify[2111:138fcd3] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-INIT] ConversationMonitor ready
2025-11-14 23:07:08.152 Df Contextify[2111:138fcd3] [dev.contextify:Startup] 🚀 Contextify launched
2025-11-14 23:07:08.167 I  Contextify[2111:138fd02] [dev.contextify:MachineID] Generated new machine ID (stored in Application Support)
2025-11-14 23:07:08.168 I  Contextify[2111:138fd02] [dev.contextify:Warmup] Startup warmup complete - all expensive frameworks pre-initialized
2025-11-14 23:07:08.331 I  Contextify[2111:138fcd3] [dev.contextify:BookmarkStore] No existing bookmarks file at <private>, starting fresh
2025-11-14 23:07:08.654 I  Contextify[2111:138fcd3] [dev.contextify:StartupCoordinator] StartupCoordinator initialized
2025-11-14 23:07:08.654 I  Contextify[2111:138fcd3] [dev.contextify:Startup] 🔍 Pre-warming LLM health check...
2025-11-14 23:07:08.672 I  Contextify[2111:138fcd3] [dev.contextify:Projects] 🔍 Initializing projects system at app launch
2025-11-14 23:07:08.672 I  Contextify[2111:138fcd3] [dev.contextify:Projects] [INIT-BUILD-TYPE] Compiled with APPSTORE_BUILD flag (sandboxed)
2025-11-14 23:07:08.672 I  Contextify[2111:138fcd3] [dev.contextify:Projects] [INIT-SANDBOX-CHECK] Sandbox.isSandboxed = true
2025-11-14 23:07:08.672 I  Contextify[2111:138fcd3] [dev.contextify:Projects] [INIT-CONTROLLER] FolderAccessController: present
2025-11-14 23:07:08.676 I  Contextify[2111:138fcd3] [dev.contextify:Projects] [INIT] Created sandbox access provider (claude: <private>, codex: <private>)
2025-11-14 23:07:08.682 I  Contextify[2111:138fcd3] [dev.contextify:DatabaseManager] Opening database at: <private>
